,reward,action,soc_kwh,generation_kW,load_kW,unmet_kW,spill_kW,charge_kW,discharge_kW
2024-03-01 00:00:00+05:00,-371.87530562977344,0.23746412,25.0,3.6570981104209808,4.463025629299228,3.719753056297735,0.0,0.0,0.0
2024-03-01 01:00:00+05:00,-345.68405749231187,-0.27957416,22.05711414939479,2.25278058692649,4.950272449519155,3.457840574923119,0.0,0.0,2.795741558074951
2024-03-01 02:00:00+05:00,-202.8088369359789,-0.10616654,20.93957160648547,6.243048334733826,4.939265762260051,2.0290883693597888,0.0,0.0,1.061665415763855
2024-03-01 03:00:00+05:00,-5.664447848131944,0.592878,26.57191245493136,21.47686157441554,5.928777316852876,0.0,5.764447848131944,5.92877984046936,0.0
2024-03-01 04:00:00+05:00,-6.224900634145792,0.41202554,30.486155095069034,20.80369704399203,6.6038020472059875,0.0,6.224900634145792,4.120255410671234,0.0
2024-03-01 05:00:00+05:00,-0.914562202250977,-0.17988859,30.486155095069034,11.593081172990335,8.009717413521937,0.0,0.914562202250977,0.0,0.0
2024-03-01 06:00:00+05:00,0.1,-0.34130692,27.86911022823166,8.40413782186049,8.698243517490903,0.0,0.0,0.0,2.4861926234955067
2024-03-01 07:00:00+05:00,-1.1729198350901462,-0.019347223,27.86911022823166,12.145317483528588,9.896411223550796,0.0,1.2729198350901463,0.0,0.0
2024-03-01 08:00:00+05:00,-0.38219858220704916,-0.0572868,27.86911022823166,11.250440233413329,11.056727951664044,0.0,0.48219858220704914,0.0,0.0
2024-03-01 09:00:00+05:00,-2.285853227335607,0.061100304,28.449563117435684,12.254704335746624,12.08582312637503,0.0,2.3858532273356072,0.611003041267395,0.0
2024-03-01 10:00:00+05:00,-37.542762247647886,-0.3103803,25.18240196143384,5.74432773520607,13.074446083341652,0.3764276224764789,0.0,0.0,3.1038030982017517
2024-03-01 11:00:00+05:00,0.1,0.7081626,25.24134870035321,7.956572964263508,13.274261188093002,0.0,0.0,0.06204919886249627,0.0
